"","id","title","artist","mood","mood.cod","tempo","tempo.cod","genre","genre.cod","artist_type","artist_type.cod","durationSeg","durationSeg.cod","chart_date","agnioChar_date.numero","anioNacimiento","anioNacimiento.numero","age","age.cod","top"
"332",331,"When I Was Your Man","CHRIS JAMISON","Sophisticated",4,"Slow Tempo",0,"Pop",3,"Male",3,0,0,20141227,2014,"1994",1994,20,NA,"0"
"333",332,"Bailando","ENRIQUE IGLESIAS featuring DESCEMER BUENO & GENTE DE ZONA","Energizing",6,"Medium Tempo",1,"Urban",3,"Male",3,0,0,20140517,2014,"1975",1975,39,4,"0"
"334",333,"Blame","CALVIN HARRIS featuring JOHN NEWMAN","Excited",5,"Medium Tempo",1,"Electronica",1,"Male",3,222,3,20140927,2014,"1984",1984,30,2,"0"
"335",334,"Best Day Of My Life","AMERICAN AUTHORS","Defiant",3,"Medium Tempo",1,"Alternative & Punk",1,"Male",3,326,6,20140104,2014,"0",1982,32,3,"0"
"336",335,"Follow Your Arrow","KACEY MUSGRAVES","Empowering",6,"Slow Tempo",0,"Traditional",2,"Female",2,0,0,20140215,2014,"1988",1988,26,1,"0"
"337",336,"Neon Light","BLAKE SHELTON","Rowdy",4,"Medium Tempo",1,"Traditional",2,"Male",3,220,3,20140906,2014,"1976",1976,38,4,"0"
"338",337,"I Wanna Love You","AKON featuring SNOOP DOGG","Sensual",2,"Medium Tempo",1,"Urban",3,"Male",3,238,3,20061202,2006,"1973",1973,33,3,"1"
"339",338,"Welcome To New York","TAYLOR SWIFT","Excited",5,"Medium Tempo",1,"Pop",3,"Female",2,82,0,20141108,2014,"1989",1989,25,1,"0"
"340",339,"Say Something","A GREAT BIG WORLD featuring CHRISTINA AGUILERA","Sentimental",4,"Slow Tempo",0,"Pop",3,"Mixed",1,217,3,20140104,2014,"0",1982,32,3,"0"
"341",340,"What Kind Of Man","FLORENCE + THE MACHINE","Yearning",4,"Medium Tempo",1,"Alternative & Punk",1,"Mixed",1,2836,6,20150228,2015,"0",1982,33,3,"0"
"342",341,"Baby It's Cold Outside","IDINA MENZEL duet with MICHAEL BUBLE","Sophisticated",4,"Slow Tempo",0,"Pop",3,"Mixed",1,3985,6,20141206,2014,"0",1982,32,3,"0"
"343",342,"Money Maker","LUDACRIS featuring PHARRELL","Defiant",3,"Medium Tempo",1,"Urban",3,"Male",3,225,3,20061028,2006,"1973",1973,33,3,"1"
"344",343,"I Mean It","G-EAZY featuring REMO","Cool",5,"Medium Tempo",1,"Urban",3,"Male",3,211,3,20150117,2015,"0",1982,33,3,"0"
"345",344,"Riptide","VANCE JOY","Fiery",4,"Medium Tempo",1,"Alternative & Punk",1,"Male",3,268,4,20140712,2014,"0",1982,32,3,"0"
"346",345,"Fight Night","MIGOS","Defiant",3,"Medium Tempo",1,"Urban",3,"Male",3,214,3,20140726,2014,"1991",1991,23,1,"0"
"347",346,"Wasted","TIESTO featuring MATTHEW KOMA","Energizing",6,"Medium Tempo",1,"Pop",3,"Male",3,296,5,20140621,2014,"1969",1969,45,5,"0"
"348",347,"My Boo","USHER & ALICIA KEYS","Sensual",2,"Slow Tempo",0,"Urban",3,"Mixed",1,205,2,20041030,2004,"1981",1981,23,1,"1"
"349",348,"Somewhere In My Car","KEITH URBAN","Yearning",4,"Medium Tempo",1,"Traditional",2,"Male",3,218,3,20140913,2014,"1967",1967,47,6,"0"
"350",349,"Show Me","KID INK featuring CHIS BROWN","Sensual",2,"Medium Tempo",1,"Urban",3,"Male",3,214,3,20140104,2014,"1989",1989,25,1,"0"
"351",350,"0 To 100 / The Catch Up","DRAKE","Cool",5,"Medium Tempo",1,"Urban",3,"Male",3,117,0,20140809,2014,"1986",1986,28,2,"0"
"352",351,"The Heart Wants What It Wants","SELENA GOMEZ","Aggressive",4,"Fast Tempo",2,"Pop",3,"Male",3,247,4,20141122,2014,"1992",1992,22,1,"0"
"353",352,"Tennis Court","LORDE","Cool",5,"Medium Tempo",1,"Electronica",1,"Female",2,232,3,20140607,2014,"1996",1996,18,NA,"0"
"354",353,"Lay Me Down","SAM SMITH","Sophisticated",4,"Medium Tempo",1,"Urban",3,"Male",3,250,4,20150221,2015,"1992",1992,23,1,"0"
"355",354,"X","CHRIS BROWN","Sensual",2,"Slow Tempo",0,"Pop",3,"Mixed",1,201,2,20141004,2014,"1989",1989,25,1,"0"
"356",355,"American Kids","KENNY CHESNEY","Cool",5,"Medium Tempo",1,"Traditional",2,"Male",3,178,1,20140705,2014,"1968",1968,46,5,"0"
"357",356,"Wake Me Up!","AVICII","Defiant",3,"Medium Tempo",1,"Rock",1,"Male",3,211,3,20140104,2014,"1989",1989,25,1,"0"
"358",357,"Stuck On A Feeling","PRINCE ROYCE featuring SNOOP DOGG","Cool",5,"Medium Tempo",1,"Pop",3,"Male",3,0,0,20150110,2015,"0",1982,33,3,"0"
"359",358,"Love Don't Die","THE FRAY","Urgent",3,"Medium Tempo",1,"Rock",1,"Male",3,110,0,20140118,2014,"0",1982,32,3,"0"
"360",359,"6 Man","DRAKE","Cool",5,"Medium Tempo",1,"Urban",3,"Male",3,357,6,20150307,2015,"1986",1986,29,2,"0"
"361",360,"Fireflies","OWL CITY","Sensual",2,"Medium Tempo",1,"Alternative & Punk",1,"Male",3,225,3,20091107,2009,"1986",1986,23,1,"1"
"362",361,"A Guy Walks Into A Bar","TYLER FARR","Empowering",6,"Medium Tempo",1,"Traditional",2,"Male",3,194,2,20150117,2015,"0",1982,33,3,"0"
