"","abreviatura","entidad","ene","feb","mar","abr","may","jun","jul","ago","sep","oct","nov","dic","anual","agnio"
"116","OAX","OAXACA ",35.8,18.8333333333333,14.7666666666667,35.4333333333333,37.5333333333333,279.533333333333,321.466666666667,429.066666666667,288.833333333333,58.9,29,13.7333333333333,1562.9,"2013"
"117","PUE","PUEBLA ",40.1,42,23.7666666666667,45.4333333333333,56.3333333333333,191.333333333333,306.2,291.2,214.4,70.5333333333333,48.3333333333333,15.5666666666667,1345.2,"2013"
"118","QRO","QUERÉTARO ",15.4333333333333,64.6,6.43333333333333,10.2333333333333,12.9666666666667,109.5,134.9,89.2333333333333,93.9333333333333,11.4333333333333,10.2333333333333,0.866666666666667,559.766666666667,"2013"
"119","QROO","QUINTANA ROO ",57.2333333333333,61.6,45.6,107.4,135.133333333333,204.7,193.433333333333,148.633333333333,149.533333333333,208.466666666667,89.4666666666667,38.2,1439.4,"2013"
"120","SLP","SAN LUIS POTOSÍ ",29.5333333333333,47.2666666666667,12,54.2666666666667,47.8666666666667,168.4,364.266666666667,122.266666666667,174.366666666667,33.2,26.9,5.23333333333333,1085.6,"2013"
"121","SIN","SINALOA ",5.53333333333333,17.5666666666667,0.666666666666667,0.466666666666667,0.3,21.4666666666667,195.433333333333,217.8,120.9,18.9,15.3333333333333,15.2666666666667,629.633333333333,"2013"
"122","SON","SONORA ",21.1333333333333,13.8333333333333,3.06666666666667,2.76666666666667,0.433333333333333,10.7666666666667,123.466666666667,113.133333333333,63.5666666666667,6.13333333333333,21.1333333333333,18.9666666666667,398.4,"2013"
"123","TAB","TABASCO ",179.533333333333,107.5,59.1,38.4333333333333,106.6,248.266666666667,320.133333333333,430.8,430.133333333333,232.066666666667,129.533333333333,93.9666666666667,2376.03333333333,"2013"
"124","TAMPS","TAMAULIPAS ",26.8333333333333,50.7,10.8666666666667,54.5333333333333,47.6,163.266666666667,173.333333333333,59.9666666666667,138.666666666667,25.6666666666667,21.0333333333333,8.13333333333333,780.6,"2013"
"125","TLAX","TLAXCALA ",16,32.7333333333333,12.6333333333333,37.6333333333333,43.1,138.9,202.333333333333,163.733333333333,107.733333333333,34.9666666666667,8.86666666666667,1.86666666666667,800.5,"2013"
"126","VER","VERACRUZ ",81.4,41.7666666666667,22.4666666666667,54.4666666666667,50.1666666666667,188.866666666667,337.333333333333,349.8,306.566666666667,133.566666666667,79.7,34.0666666666667,1680.16666666667,"2013"
"127","YUC","YUCATÁN ",46.7333333333333,21.4333333333333,14.2333333333333,57,59.2333333333333,190.833333333333,167.733333333333,153.666666666667,171.233333333333,80.3666666666667,23.5666666666667,11.5,997.533333333333,"2013"
"128","ZAC","ZACATECAS ",10.1333333333333,41.3333333333333,0.533333333333333,1.16666666666667,7.53333333333333,34.4333333333333,120.033333333333,90.0666666666667,96.8,12,2.13333333333333,1.93333333333333,418.1,"2013"
"129","AGS","AGUASCALIENTES ",14.7666666666667,53.6333333333333,0.366666666666667,0.333333333333333,3.73333333333333,54.8333333333333,105.2,72.8666666666667,77.6,11.4,1.76666666666667,3.03333333333333,NA,"2014"
"130","BC","BAJA CALIFORNIA ",29.5333333333333,53.2333333333333,30.1666666666667,19.4666666666667,2.36666666666667,0.0333333333333333,4.8,4.46666666666667,6.16666666666667,11.9333333333333,17.9,38.1,NA,"2014"
"131","BCS","BAJA CALIFORNIA SUR ",2.16666666666667,9,1.3,0.2,0.166666666666667,0,3.3,42.5666666666667,67.4666666666667,23.1666666666667,6.83333333333333,5.36666666666667,NA,"2014"
"132","CAMP","CAMPECHE ",47.0333333333333,14.3333333333333,16.6,24.8,82.9666666666667,266.133333333333,210.033333333333,224.566666666667,201.1,104.733333333333,36.2,20.6,NA,"2014"
"133","COAH","COAHUILA ",17.4666666666667,17.0666666666667,11.2,34.7,38.7,35.5333333333333,86.0666666666667,26.8666666666667,61.4,15.9666666666667,12.1666666666667,6.73333333333333,NA,"2014"
"134","COL","COLIMA ",8.9,89.2666666666667,0,0.0666666666666667,14.3666666666667,171.066666666667,250.066666666667,258.7,222.7,150.6,12.0333333333333,8.06666666666667,NA,"2014"
"135","CHIS","CHIAPAS ",48.1333333333333,31.1666666666667,52.4333333333333,67.4666666666667,172.333333333333,357.366666666667,355.133333333333,536.166666666667,434.366666666667,175.5,59.2333333333333,43.1,NA,"2014"
