"","abreviatura","entidad","ene","feb","mar","abr","may","jun","jul","ago","sep","oct","nov","dic","anual","agnio"
"227","BCS","BAJA CALIFORNIA SUR ",3.25,8.05,8.05,0.166666666666667,0.183333333333333,0.133333333333333,4.28333333333333,47.75,64.6166666666667,30.6666666666667,19.05,7.83333333333333,200.513333333333,"2017"
"228","CAMP","CAMPECHE ",37.15,15.55,19.7166666666667,26.8666666666667,105.833333333333,302.866666666667,183.383333333333,197.15,199.15,153.933333333333,50.4333333333333,36.4833333333333,1344.38,"2017"
"229","COAH","COAHUILA ",12.9666666666667,12.3166666666667,15.1333333333333,23.8166666666667,33.5333333333333,32.3,62.1166666666667,24.5333333333333,65.2333333333333,14.7,14.05,6.61666666666667,308.006666666667,"2017"
"230","COL","COLIMA ",18.75,76.0166666666667,0.0166666666666667,0.05,14.6666666666667,160.716666666667,255.716666666667,313.233333333333,337.933333333333,132.883333333333,19.8333333333333,8.53333333333333,1368.81333333333,"2017"
"231","CHIS","CHIAPAS ",44.3166666666667,34.5833333333333,45.1833333333333,51.1,189.65,337.033333333333,267.05,434.833333333333,384.283333333333,222.066666666667,78.7166666666667,47.5,2097.08,"2017"
"232","CHIH","CHIHUAHUA ",10.3166666666667,11.7,7.9,5.05,4.28333333333333,19.7333333333333,117.9,87.6333333333333,79.9833333333333,20.1833333333333,22.3166666666667,13.7833333333333,400.786666666667,"2017"
"233","CDMX","DISTRITO FEDERAL ",9.38333333333334,20.9,13,18.5166666666667,23.7166666666667,97.3166666666667,167.35,124.2,89.25,33.7333333333333,11.3,0.266666666666667,594.033333333333,"2017"
"234","DGO","DURANGO ",6.61666666666667,12.8833333333333,1.86666666666667,2.26666666666667,5.26666666666667,26.55,132.25,79.25,101.116666666667,15.5,16.4333333333333,6.05,406.593333333333,"2017"
"235","GTO","GUANAJUATO ",12.7833333333333,48.65,4.65,3.88333333333333,12.05,87.2333333333333,160.133333333333,108.516666666667,92.0166666666667,19.45,6.78333333333333,2.56666666666667,553.793333333333,"2017"
"236","GRO","GUERRERO ",7.66666666666667,21.9,1.55,4.6,29.0666666666667,200.516666666667,215.65,300.716666666667,227.65,89.8166666666667,11.4666666666667,0.816666666666667,1088.57333333333,"2017"
"237","HGO","HIDALGO ",24.3666666666667,34.4166666666667,12.6166666666667,31.35,26.8666666666667,107.1,148,113.083333333333,93.8833333333333,29.6666666666667,21.9,4.9,624.7,"2017"
"238","JAL","JALISCO ",14.8333333333333,51.0666666666667,0.7,0.866666666666666,8.4,108.133333333333,219.666666666667,182.966666666667,129.783333333333,46.0833333333333,10.5,7.23333333333333,788.833333333333,"2017"
"239","MEX","ESTADO DE MÉXICO ",9.15,34.2666666666667,9.05,14.6166666666667,24.6,124.9,198.7,143.866666666667,104.15,42.5166666666667,13.3333333333333,0.966666666666667,724.44,"2017"
"240","MICH","MICHOACÁN ",10.4,54.8166666666667,5.36666666666667,2.65,15.6166666666667,124.15,218.066666666667,186.35,125.55,41.1,16.2166666666667,2.78333333333333,794.953333333333,"2017"
"241","MOR","MORELOS ",6.45,25,4.31666666666667,6.61666666666667,50.9666666666667,217.833333333333,266,266.566666666667,239.75,81.6166666666667,10.4833333333333,0.15,1209.82666666667,"2017"
"242","NAY","NAYARIT ",13.85,41.1666666666667,0.0666666666666667,0.216666666666667,2.61666666666667,109.283333333333,322.566666666667,385.066666666667,263.666666666667,55.7,9.11666666666667,7.56666666666667,1197.06,"2017"
"243","NL","NUEVO LEÓN ",16.3666666666667,30.8,21.3,44.0666666666667,49.2,93.6833333333333,114.116666666667,47.9666666666667,139.8,29.8,30.7,7.4,606.006666666667,"2017"
"244","OAX","OAXACA ",34.0333333333333,16.6666666666667,13.25,30.7833333333333,54.95,248.7,236.45,344.75,258.583333333333,91.0666666666667,36.1166666666667,11.95,1340.16,"2017"
"245","PUE","PUEBLA ",32.95,34.2333333333333,20.2666666666667,37.95,58.2833333333333,200.033333333333,254.833333333333,266.083333333333,218.783333333333,84.9,40.9833333333333,12.5333333333333,1245.22,"2017"
"246","QRO","QUERÉTARO ",14.0333333333333,43.7333333333333,8.86666666666667,9.25,17.6,101.566666666667,113.883333333333,82.8833333333333,85.4166666666667,22.1333333333333,12.4833333333333,2.76666666666667,505.546666666667,"2017"
"247","QROO","QUINTANA ROO ",58.3833333333333,55.35,31.9,81.3833333333333,151.533333333333,220.933333333333,141.866666666667,149.383333333333,142.416666666667,224.433333333333,117.7,51.9166666666667,1424.74,"2017"
"248","SLP","SAN LUIS POTOSÍ ",25.3166666666667,33.25,12.6,42.7166666666667,46.6166666666667,139.766666666667,230.116666666667,112.983333333333,144.583333333333,36.45,29.1166666666667,6.25,814.56,"2017"
"249","SIN","SINALOA ",8.31666666666667,19.0833333333333,1.65,0.55,0.633333333333333,24.8,189.966666666667,232.4,139.216666666667,24.4833333333333,35.4333333333333,18.1166666666667,707.613333333333,"2017"
"250","SON","SONORA ",16.55,18.6333333333333,21.5166666666667,2.01666666666667,2.38333333333333,10.9,113.966666666667,109.15,68.3666666666667,6.63333333333333,33.65,24.4333333333333,434.12,"2017"
"251","TAB","TABASCO ",159.416666666667,115.283333333333,53.8333333333333,37.1666666666667,138.483333333333,280.15,224.25,346.916666666667,379.75,307.366666666667,192.316666666667,120.4,2351.13333333333,"2017"
"252","TAMPS","TAMAULIPAS ",24.75,40.4333333333333,16.7666666666667,43.5,59.9833333333333,143.783333333333,126.6,56.5,134.483333333333,34.55,24.1,7.78333333333333,699.74,"2017"
"253","TLAX","TLAXCALA ",10.3833333333333,22.5,12.2666666666667,29.4166666666667,38.8833333333333,135.35,175.533333333333,145.883333333333,105.166666666667,38.8333333333333,9.65,1.66666666666667,710.54,"2017"
"254","VER","VERACRUZ ",77.9,40.7833333333333,21.95,46.9833333333333,68.25,195.816666666667,241.133333333333,298.416666666667,271.333333333333,160.066666666667,107,35.8,1542.48666666667,"2017"
"255","YUC","YUCATÁN ",47.3166666666667,21.7666666666667,12.0833333333333,54.7166666666667,85.3666666666667,240.35,143.816666666667,138.383333333333,162.516666666667,147.6,47.8333333333333,27.8333333333333,1155.93333333333,"2017"
"256","ZAC","ZACATECAS ",12.15,30.0333333333333,1.88333333333333,1.38333333333333,8.61666666666667,41.2333333333333,120.6,86.4666666666667,84.9333333333333,14.0666666666667,10.2833333333333,6.13333333333333,417.72,"2017"
"257","AGS","AGUASCALIENTES ",17.5333333333333,40.2,0.683333333333333,0.933333333333333,6.06666666666667,57.1333333333333,120.7,84.7833333333333,76.2333333333333,14.2666666666667,7.2,7.21666666666667,439.593333333333,"2018"
"258","BC","BAJA CALIFORNIA ",19.1166666666667,41.2,33.9833333333333,14.8333333333333,2.21666666666667,0.0333333333333333,4.15,4.11666666666667,7.45,6.68333333333333,19.3833333333333,32.6,179.246666666667,"2018"
"259","BCS","BAJA CALIFORNIA SUR ",3.25,8.05,8.05,0.166666666666667,0.183333333333333,0.133333333333333,4.28333333333333,47.75,64.6166666666667,30.6666666666667,19.05,7.83333333333333,200.513333333333,"2018"
"260","CAMP","CAMPECHE ",37.15,15.55,19.7166666666667,26.8666666666667,105.833333333333,302.866666666667,183.383333333333,197.15,199.15,153.933333333333,50.4333333333333,36.4833333333333,1344.38,"2018"
"261","COAH","COAHUILA ",12.9666666666667,12.3166666666667,15.1333333333333,23.8166666666667,33.5333333333333,32.3,62.1166666666667,24.5333333333333,65.2333333333333,14.7,14.05,6.61666666666667,308.006666666667,"2018"
"262","COL","COLIMA ",18.75,76.0166666666667,0.0166666666666667,0.05,14.6666666666667,160.716666666667,255.716666666667,313.233333333333,337.933333333333,132.883333333333,19.8333333333333,8.53333333333333,1368.81333333333,"2018"
"263","CHIS","CHIAPAS ",44.3166666666667,34.5833333333333,45.1833333333333,51.1,189.65,337.033333333333,267.05,434.833333333333,384.283333333333,222.066666666667,78.7166666666667,47.5,2097.08,"2018"
"264","CHIH","CHIHUAHUA ",10.3166666666667,11.7,7.9,5.05,4.28333333333333,19.7333333333333,117.9,87.6333333333333,79.9833333333333,20.1833333333333,22.3166666666667,13.7833333333333,400.786666666667,"2018"
"265","CDMX","DISTRITO FEDERAL ",9.38333333333333,20.9,13,18.5166666666667,23.7166666666667,97.3166666666667,167.35,124.2,89.25,33.7333333333333,11.3,0.266666666666667,594.033333333333,"2018"
"266","DGO","DURANGO ",6.61666666666667,12.8833333333333,1.86666666666667,2.26666666666667,5.26666666666667,26.55,132.25,79.25,101.116666666667,15.5,16.4333333333333,6.05,406.593333333333,"2018"
"267","GTO","GUANAJUATO ",12.7833333333333,48.65,4.65,3.88333333333333,12.05,87.2333333333333,160.133333333333,108.516666666667,92.0166666666667,19.45,6.78333333333333,2.56666666666667,553.793333333333,"2018"
"268","GRO","GUERRERO ",7.66666666666667,21.9,1.55,4.6,29.0666666666667,200.516666666667,215.65,300.716666666667,227.65,89.8166666666667,11.4666666666667,0.816666666666667,1088.57333333333,"2018"
"269","HGO","HIDALGO ",24.3666666666667,34.4166666666667,12.6166666666667,31.35,26.8666666666667,107.1,148,113.083333333333,93.8833333333333,29.6666666666667,21.9,4.9,624.7,"2018"
"270","JAL","JALISCO ",14.8333333333333,51.0666666666667,0.7,0.866666666666667,8.4,108.133333333333,219.666666666667,182.966666666667,129.783333333333,46.0833333333333,10.5,7.23333333333333,788.833333333333,"2018"
"271","MEX","ESTADO DE MÉXICO ",9.15,34.2666666666667,9.05,14.6166666666667,24.6,124.9,198.7,143.866666666667,104.15,42.5166666666667,13.3333333333333,0.966666666666667,724.44,"2018"
"272","MICH","MICHOACÁN ",10.4,54.8166666666667,5.36666666666667,2.65,15.6166666666667,124.15,218.066666666667,186.35,125.55,41.1,16.2166666666667,2.78333333333333,794.953333333333,"2018"
"273","MOR","MORELOS ",6.45,25,4.31666666666667,6.61666666666667,50.9666666666667,217.833333333333,266,266.566666666667,239.75,81.6166666666667,10.4833333333333,0.15,1209.82666666667,"2018"
"274","NAY","NAYARIT ",13.85,41.1666666666667,0.0666666666666667,0.216666666666667,2.61666666666667,109.283333333333,322.566666666667,385.066666666667,263.666666666667,55.7,9.11666666666667,7.56666666666667,1197.06,"2018"
"275","NL","NUEVO LEÓN ",16.3666666666667,30.8,21.3,44.0666666666667,49.2,93.6833333333333,114.116666666667,47.9666666666667,139.8,29.8,30.7,7.4,606.006666666667,"2018"
"276","OAX","OAXACA ",34.0333333333333,16.6666666666667,13.25,30.7833333333333,54.95,248.7,236.45,344.75,258.583333333333,91.0666666666667,36.1166666666667,11.95,1340.16,"2018"
"277","PUE","PUEBLA ",32.95,34.2333333333333,20.2666666666667,37.95,58.2833333333333,200.033333333333,254.833333333333,266.083333333333,218.783333333333,84.9,40.9833333333333,12.5333333333333,1245.22,"2018"
"278","QRO","QUERÉTARO ",14.0333333333333,43.7333333333333,8.86666666666667,9.25,17.6,101.566666666667,113.883333333333,82.8833333333333,85.4166666666667,22.1333333333333,12.4833333333333,2.76666666666667,505.546666666667,"2018"
"279","QROO","QUINTANA ROO ",58.3833333333333,55.35,31.9,81.3833333333333,151.533333333333,220.933333333333,141.866666666667,149.383333333333,142.416666666667,224.433333333333,117.7,51.9166666666667,1424.74,"2018"
"280","SLP","SAN LUIS POTOSÍ ",25.3166666666667,33.25,12.6,42.7166666666667,46.6166666666667,139.766666666667,230.116666666667,112.983333333333,144.583333333333,36.45,29.1166666666667,6.25,814.56,"2018"
"281","SIN","SINALOA ",8.31666666666667,19.0833333333333,1.65,0.55,0.633333333333333,24.8,189.966666666667,232.4,139.216666666667,24.4833333333333,35.4333333333333,18.1166666666667,707.613333333333,"2018"
"282","SON","SONORA ",16.55,18.6333333333333,21.5166666666667,2.01666666666667,2.38333333333333,10.9,113.966666666667,109.15,68.3666666666667,6.63333333333333,33.65,24.4333333333333,434.12,"2018"
"283","TAB","TABASCO ",159.416666666667,115.283333333333,53.8333333333333,37.1666666666667,138.483333333333,280.15,224.25,346.916666666667,379.75,307.366666666667,192.316666666667,120.4,2351.13333333333,"2018"
"284","TAMPS","TAMAULIPAS ",24.75,40.4333333333333,16.7666666666667,43.5,59.9833333333333,143.783333333333,126.6,56.5,134.483333333333,34.55,24.1,7.78333333333333,699.74,"2018"
"285","TLAX","TLAXCALA ",10.3833333333333,22.5,12.2666666666667,29.4166666666667,38.8833333333333,135.35,175.533333333333,145.883333333333,105.166666666667,38.8333333333333,9.65,1.66666666666667,710.54,"2018"
"286","VER","VERACRUZ ",77.9,40.7833333333333,21.95,46.9833333333333,68.25,195.816666666667,241.133333333333,298.416666666667,271.333333333333,160.066666666667,107,35.8,1542.48666666667,"2018"
"287","YUC","YUCATÁN ",47.3166666666667,21.7666666666667,12.0833333333333,54.7166666666667,85.3666666666667,240.35,143.816666666667,138.383333333333,162.516666666667,147.6,47.8333333333333,27.8333333333333,1155.93333333333,"2018"
"288","ZAC","ZACATECAS ",12.15,30.0333333333333,1.88333333333333,1.38333333333333,8.61666666666667,41.2333333333333,120.6,86.4666666666667,84.9333333333333,14.0666666666667,10.2833333333333,6.13333333333333,417.72,"2018"
"289","AGS","Aguascalientes ",11.3,0,0.4,0,2.5,45.7,101.3,123.4,78.1,40.5,33.7,16.2,453.1,"2019"
"290","BC","Baja California ",17.8,49.5,13.4,1.2,5.6,0,5.1,3,14,1.9,53.1,41.6,206.1,"2019"
"291","BCS","Baja California Sur ",11.1,3.1,6.1,0,0.6,0,6.9,31.9,60,45.1,91.1,14.7,270.6,"2019"
"292","CAMP","Campeche ",26.7,14.2,34.6,32.7,72.6,250.9,156.8,124.7,182.8,235.3,90.5,81.4,1303.2,"2019"
"293","COAH","Coahuila ",6.9,0.6,11.3,12.3,30.8,49.9,22.3,21.5,60.6,19.6,22.1,3.6,261.5,"2019"
"294","COL","Colima ",5.7,0.1,0.1,0,3.5,111.2,310.6,234.1,851,251.8,46.8,2.1,1816.7,"2019"
"295","CHIS","Chiapas ",39.8,28.5,34.6,14,200.4,277,142.6,236.5,308.2,359.7,66.5,59.7,1767.4,"2019"
"296","CHIH","Chihuahua ",15.2,13.8,11.5,1,3.5,26,76.1,99.3,98.5,41.3,69,15.2,470.3,"2019"
"297","CDMX","Ciudad de México ",5.3,5.7,7.2,4.3,21.6,108.1,145.5,87.2,76.1,86.8,17.6,0.1,565.3,"2019"
"298","DGO","Durango ",6.6,0.7,0.7,0,1.9,31.5,74.8,89.5,106.1,31.3,74.9,10.7,428.8,"2019"
"299","GTO","Guanajuato ",3.3,0.8,0.9,0.3,8.7,95.8,136.4,137.1,91.2,63.2,9.4,6.6,553.7,"2019"
"300","GRO","Guerrero ",1,0.4,0.7,0.4,44.4,155.4,182.1,192.5,300.7,189.1,34.4,0.9,1102.1,"2019"
"301","HGO","Hidalgo ",12.3,7.9,11.3,6.8,14.2,108.1,56.8,47.3,57.2,91,15.8,10,438.8,"2019"
"302","JAL","Jalisco ",8.4,1.1,0.1,0.1,6,96.3,217.7,171.7,239.8,128.6,50.5,6.1,926.4,"2019"
"303","MEX","Estado de México ",4.1,5.8,6.7,7.3,33.3,152,181.9,138.5,140.1,133.4,33.5,1,837.6,"2019"
"304","MICH","Michoacán ",8.1,1,0.7,1.4,19.4,110.4,179.8,154.5,194.1,128.8,29.3,2.2,829.7,"2019"
"305","MOR","Morelos ",1.5,1.2,2.3,0.5,115.2,366.8,270,265.5,342.6,298.7,27.2,0,1691.3,"2019"
"306","NAY","Nayarit ",1.4,0.5,0,0,0.2,40.8,262.9,366.6,299,189.8,49.6,14.6,1225.3,"2019"
"307","NL","Nuevo León ",22.5,2.8,38.2,13.9,54.6,75.9,31.1,31,166.2,28.6,26.7,7.5,499.2,"2019"
"308","OAX","Oaxaca ",14.9,4.7,9.6,8.5,96.9,155.8,145.2,162.7,227.3,209.9,47.7,6.3,1089.4,"2019"
"309","PUE","Puebla ",6.8,9.1,11.4,8,51.7,223.2,164.5,150.6,182.7,194.1,29.1,9.4,1040.8,"2019"
"310","QRO","Querétaro ",7.5,2.3,4.6,2.7,11.9,104,57.3,57.2,66,78.1,9.7,10.2,411.3,"2019"
"311","QROO","Quintana Roo ",67,62,20,57,52.8,89.7,57.5,94.6,128.4,187.2,139,81,1036.1,"2019"
"312","SLP","San Luis Potosí ",14.2,3.4,13.7,2.2,29.3,124.9,34.5,59.3,86.6,72.3,24.5,16.1,480.8,"2019"
"313","SIN","Sinaloa ",11.3,1.2,4.8,0,0.3,12,150.3,339.6,199.3,39.4,159.5,10.6,928.2,"2019"
"314","SON","Sonora ",23.8,36.2,35.1,0.8,4.5,0.9,97.2,122.8,129.5,17,135,45.9,648.7,"2019"
"315","TAB","Tabasco ",126.7,82.4,91.7,19.2,76.5,280.4,120.4,100.9,233.6,394.5,245.4,144.4,1916,"2019"
"316","TAMPS","Tamaulipas ",25.2,7.5,36.2,10.1,50.7,132,38,19.9,142.2,78.7,25.9,12.7,579.1,"2019"
"317","TLAX","Tlaxcala ",1.3,5.2,4.7,6.3,25.5,129.1,125.7,103.4,81.2,60.4,20.9,0.5,564.2,"2019"
"318","VER","Veracruz ",50.6,15.5,30.3,8,31.6,162.3,121.7,90.8,168,271.9,124.1,32.7,1107.6,"2019"
"319","YUC","Yucatán ",48.4,42.7,19,21.5,68.7,148.9,127.2,102.1,153.5,141.2,95.5,65.5,1034.2,"2019"
"320","ZAC","Zacatecas ",8.9,0.4,6.3,0.3,6.7,49.3,83.1,86.3,71.2,34.8,49.9,18.2,415.3,"2019"
"321","AGS","Aguascalientes ",38.5,28.4,1.5,4.6,17.3,72.6,162.8,77.3,81.9,4.5,0,8.9,498.1,"2020"
"322","BC","Baja California ",4.3,10.5,62.4,11.8,0.6,0,1.1,0.5,1.1,0.5,3.9,6.9,103.5,"2020"
"323","BCS","Baja California Sur ",1.9,8.8,36.9,0.2,0,0.8,6.6,22.4,17.8,3.6,1,3.1,103,"2020"
"324","CAMP","Campeche ",31.1,13.4,4.1,25.9,207.1,499.1,137.2,184.8,234.2,293.1,99.1,50.3,1779.3,"2020"
"325","COAH","Coahuila ",11.3,2.8,21.6,7.3,30.5,23.8,44.5,6,63.8,0.4,2.8,12.4,227.2,"2020"
"326","COL","Colima ",80.1,112.1,0,0,2.1,84.7,354.8,664.3,339.2,27,0,0.7,1665.1,"2020"
"327","CHIS","Chiapas ",28.4,46.9,21,32.4,239.4,409.1,182.5,345.9,373.1,251.8,199.1,38.3,2167.9,"2020"
"328","CHIH","Chihuahua ",6,20.2,27.3,3.3,6.2,19.5,82.8,32.4,49.1,0.1,1.5,12.4,260.8,"2020"
"329","CDMX","Ciudad de México ",11.3,5.3,8.1,21.9,32.8,59.7,103.8,107.8,97,20.1,1.5,0.5,469.7,"2020"
"330","DGO","Durango ",16.9,18.7,2.3,1,5.6,31.1,143.9,49.9,115.1,1.9,0.3,3.6,390.4,"2020"
"331","GTO","Guanajuato ",5.6,20.5,12.1,6.7,27.7,104.5,111.1,109.9,69.9,4.7,1.2,1.7,475.5,"2020"
"332","GRO","Guerrero ",4,4.9,2.9,7.8,11.9,133.1,179.4,307.3,226.4,43.2,4.5,2.7,928,"2020"
"333","HGO","Hidalgo ",34.5,9.8,6.9,39.3,46,64.6,60.9,80.8,111,21.4,22,4.4,501.5,"2020"
"334","JAL","Jalisco ",49.8,55.6,1.1,1.4,16,81.7,209.3,254.4,167.4,24.5,0.1,12.9,874.2,"2020"
"335","MEX","Estado de México ",7.8,8,16.2,29.3,26.6,115.6,184.2,184.5,150.6,29.2,3.5,3.3,758.9,"2020"
"336","MICH","Michoacán ",6.8,29.8,9,5.1,9.8,92.5,155.9,201,167.6,20.2,2.9,2.4,703,"2020"
"337","MOR","Morelos ",4,7.7,14.6,8.7,32.3,248.6,348,337.7,452.7,46.9,6.5,0,1507.5,"2020"
"338","NAY","Nayarit ",60.4,61.7,0.1,0.8,9.3,53.5,303,349,251.2,30.3,0,21.4,1140.5,"2020"
"339","NL","Nuevo León ",13,3.5,15.2,37,80.5,72.7,171.4,14.8,102.8,2.7,3.8,8,525.5,"2020"
"340","OAX","Oaxaca ",29.5,17,2.8,25.9,63.5,148.6,169.1,303.2,238.2,66,51.7,10.1,1125.6,"2020"
"341","PUE","Puebla ",25.9,12.8,9.6,41.3,68.5,171.9,172.2,239,285.1,40.5,29.6,7.9,1104.4,"2020"
"342","QRO","Querétaro ",23.7,12.5,19.3,17.2,34.4,66.4,83.3,58.6,70.3,13.4,6.6,1.3,407,"2020"
"343","QROO","Quintana Roo ",56.8,27.2,9.6,12,248.4,406,105.3,153,172.3,354.9,254.9,70.3,1870.7,"2020"
"344","SLP","San Luis Potosí ",29,6,8.6,28.1,47.1,65.4,96.2,56.8,81.3,9.6,15.6,2.8,446.3,"2020"
"345","SIN","Sinaloa ",21.4,54.9,3,1.7,2.3,14.9,221.8,162.3,150.6,6.4,1.9,12.3,653.4,"2020"
"346","SON","Sonora ",9.2,25.6,82.1,2.5,7.3,12,93.5,74.8,17.8,0.2,1.8,16.4,343,"2020"
"347","TAB","Tabasco ",75.3,137.8,18.8,36.3,281.7,385.7,92.9,303.1,461.3,550.4,501.3,173.3,3017.9,"2020"
"348","TAMPS","Tamaulipas ",19.9,3.1,12.9,35.9,120,117.3,128.5,53.2,105.9,17.6,10.4,6.5,631.1,"2020"
"349","TLAX","Tlaxcala ",8.8,1.1,3.3,34.9,46,64,123.4,106.1,114.9,31.5,3.8,0.6,538.4,"2020"
"350","VER","Veracruz ",85.2,56.6,8.1,50.7,135.6,218,107.5,243.5,282.2,123.1,189.6,48.6,1548.6,"2020"
"351","YUC","Yucatán ",29.5,8,4.1,23.4,194.8,551.9,121.8,144.9,166.5,402.7,103.3,51.6,1802.2,"2020"
"352","ZAC","Zacatecas ",27.4,19.6,2.3,2.7,13.3,56.7,153.7,51.1,68.5,3.7,0,7.2,406.3,"2020"
"353","AGS","Aguascalientes ",6.2,0,0,1.9,22.7,124.1,176.6,117.5,185.5,NA,NA,NA,NA,"2021"
"354","BC","Baja California ",26.8,1.3,14.1,1.4,0,0.2,3,7.5,3.8,NA,NA,NA,NA,"2021"
"355","BCS","Baja California Sur ",12.2,0.2,0.1,0,0,9.4,10.8,53.5,53.7,NA,NA,NA,NA,"2021"
"356","CAMP","Campeche ",52.8,21.1,30.4,21.6,137.5,196.8,143.6,147.7,230.4,NA,NA,NA,NA,"2021"
"357","COAH","Coahuila ",3.5,4.6,0.2,10.9,37.3,34.1,55.7,43,24.1,NA,NA,NA,NA,"2021"
"358","COL","Colima ",0.7,0,0,0,2.5,691.7,249.6,705.1,443.7,NA,NA,NA,NA,"2021"
"359","CHIS","Chiapas ",52.1,17,48.7,31.3,230.2,319.2,162.7,299,320.1,NA,NA,NA,NA,"2021"
"360","CHIH","Chihuahua ",20.6,9.3,0.7,3,6.8,61.6,114.2,105.4,46.1,NA,NA,NA,NA,"2021"
"361","CDMX","Ciudad de México ",4.7,0.9,2.6,12.5,73.3,153.1,92.1,126.7,120.4,NA,NA,NA,NA,"2021"
"362","DGO","Durango ",3.2,0.1,0,2.4,7.3,70.2,131.2,121.5,68.9,NA,NA,NA,NA,"2021"
"363","GTO","Guanajuato ",4.8,0.2,0.2,3.8,62,137.3,148.6,170.3,201.8,NA,NA,NA,NA,"2021"
"364","GRO","Guerrero ",2.9,0.2,1.3,0.9,64.6,323.5,153.8,345.8,240.5,NA,NA,NA,NA,"2021"
"365","HGO","Hidalgo ",12.6,4.6,10,27.1,53.1,131.2,62,135.7,119.1,NA,NA,NA,NA,"2021"
"366","JAL","Jalisco ",1.1,0.3,0,0.8,17.1,234.3,256.4,271,235.6,NA,NA,NA,NA,"2021"
"367","MEX","Estado de México ",4.1,0.5,9.9,18.3,78.7,190.3,164.1,179.8,213.6,NA,NA,NA,NA,"2021"
"368","MICH","Michoacán ",0.2,0,0.9,2.4,26.5,225,170.7,245.6,182.5,NA,NA,NA,NA,"2021"
"369","MOR","Morelos ",13.4,0.1,13.8,3.3,148.4,413.1,228.7,404.9,467.6,NA,NA,NA,NA,"2021"
"370","NAY","Nayarit ",0.3,0.2,0,0.5,1.4,235.5,328.5,408.4,322.6,NA,NA,NA,NA,"2021"
"371","NL","Nuevo León ",10,6.4,5.5,22.6,79.2,90.1,99.9,43.2,42.1,NA,NA,NA,NA,"2021"
"372","OAX","Oaxaca ",26,8.8,5,16.9,122.8,318.9,132.1,231.1,249.7,NA,NA,NA,NA,"2021"
"373","PUE","Puebla ",33,7.2,14.1,31.5,147.5,243.7,135.7,231.7,265,NA,NA,NA,NA,"2021"
"374","QRO","Querétaro ",3.8,1.2,1.6,10.5,62.9,125.2,84.4,131.3,158.6,NA,NA,NA,NA,"2021"
"375","QROO","Quintana Roo ",79.2,39.5,54.3,51.9,70.4,242.3,113.5,172.5,210.7,NA,NA,NA,NA,"2021"
"376","SLP","San Luis Potosí ",9.4,3,2.9,13.5,55,116.4,123.4,103.4,114,NA,NA,NA,NA,"2021"
"377","SIN","Sinaloa ",14.9,0.6,0,0.8,3.2,107.3,184,391.7,141.9,NA,NA,NA,NA,"2021"
"378","SON","Sonora ",42.2,1.5,2.9,0.3,0.1,34,142.5,142.6,75.7,NA,NA,NA,NA,"2021"
"379","TAB","Tabasco ",150,42.9,66.7,28,168.9,249.7,112.4,148.4,320.7,NA,NA,NA,NA,"2021"
"380","TAMPS","Tamaulipas ",17.3,13.3,10.5,16.5,99.9,116.5,168.8,52.5,97.4,NA,NA,NA,NA,"2021"
"381","TLAX","Tlaxcala ",11.9,0.6,2,18.8,77.4,130.7,96.2,130.6,165.2,NA,NA,NA,NA,"2021"
"382","VER","Veracruz ",85,25.4,22.7,32.1,103.5,276.7,140.9,236.9,218.3,NA,NA,NA,NA,"2021"
"383","YUC","Yucatán ",45.9,55.1,23,47.6,118.8,230.9,118.2,178.5,181.4,NA,NA,NA,NA,"2021"
"384","ZAC","Zacatecas ",1.5,0,0,2,17,98,148.3,108.5,117.4,NA,NA,NA,NA,"2021"
